КУЗНЕЦОВА НАДЕЖДА АЛЕКСАНДРОВНА;8607 927649;902510807 60;боль после травмы, боль в суставах;Травматолог-ортопед;2025-02-01T12:30;общий анализ крови, МРТ сустава, рентген сустава;2025-02-03T12:00;8850;5112 2334 1117 1454
ВОЛКОВ СЕРГЕЙ ИВАНОВИЧ;8609 393495;316126204 26;высокая температура, припухлость, боль в животе, кровотечение;Хирург;2025-03-10T20:50;УЗИ органов брюшной полости, биохимический анализ крови, общий анализ крови;2025-03-13T10:35;4200;5228 6080 1969 6899
ПОПОВ СЕРГЕЙ ЛЕОНИДОВИЧ;2821 652908;306351349 41;лихорадка, потеря аппетита;Педиатр;2025-04-04T13:50;мазок из носа/горла, общий анализ мочи, общий анализ крови;2025-04-06T12:55;2040;5228 6081 2052 4196
ПАВЛОВА ТАМАРА МИХАЙЛОВНА;4017 672237;443467086 92;нарушения менструации, боли внизу живота;Гинеколог;2025-11-18T14:15;УЗИ органов малого таза, общий анализ крови, мазок на флору;2025-11-20T10:55;3950;4039 3373 2602 7848
КУЗНЕЦОВА ЕКАТЕРИНА ИВАНОВНА;3525 610156;781412002 72;кашель, сыпь, потеря аппетита, насморк, лихорадка;Педиатр;2025-05-11T09:30;биохимический анализ крови, мазок из носа/горла;2025-05-12T09:30;1750;2200 7074 1886 9534
ЗАЙЦЕВА ЕКАТЕРИНА АЛЕКСАНДРОВНА;7817 564313;882759486 85;головная боль, головокружение, онемение конечностей, боли в спине, слабость;Невролог;2025-01-06T17:10;МРТ головного мозга;2025-01-08T10:10;7500;5389 9419 2723 1721
ВОРОБЬЕВА ТАМАРА ВИКТОРОВНА;4918 958581;926978445 83;слабость, кашель;Терапевт;2025-11-08T21:00;общий анализ мочи, биохимический анализ крови, общий анализ крови;2025-11-11T09:25;1990;4306 4368 7903 7689
ПЕТРОВА ДАРЬЯ ГЕННАДЬЕВНА;1715 730928;161277500 53;боль в животе, припухлость, высокая температура;Хирург;2025-07-01T18:15;общий анализ крови, биохимический анализ крови;2025-07-02T09:30;1700;2200 5675 2840 3839
ФЕДОРОВ ИГОРЬ ВЛАДИМИРОВИЧ;6611 406291;970307673 16;отравления лекарствами, рвота, тошнота, спутанность сознания, отравления химическими веществами;Токсиколог;2025-03-17T13:40;общий анализ крови, биохимический анализ крови;2025-03-19T11:25;1700;4377 7348 2940 6248
ТИТОВА АЛЕКСАНДРА СЕРГЕЕВНА;7820 221789;602335512 39;боли внизу живота;Гинеколог;2025-11-15T21:45;УЗИ органов малого таза, общий анализ крови, мазок на флору;2025-11-17T10:10;3950;5389 9428 7195 8889
ФЕДОРОВА ЕЛЕНА ЕВГЕНЬЕВНА;5807 572391;240131854 12;боль в груди, головокружение, отеки ног, одышка;Кардиолог;2025-02-09T11:45;ЭКГ, эхокардиография;2025-02-12T09:45;6000;5211 9423 9090 9286
РОМАНОВ ИВАН ВАЛЕРЬЕВИЧ;4113 968794;721186139 73;отеки;Акушер-гинеколог;2025-10-28T19:30;УЗИ беременности;2025-10-29T09:10;2500;2202 2048 3150 3070
КУЗНЕЦОВ ЮРИЙ АЛЕКСАНДРОВИЧ;4915 172014;723271670 82;онемение конечностей, головокружение, боли в спине;Невролог;2025-10-21T15:00;МРТ головного мозга;2025-10-23T09:50;7500;4377 7389 9711 7282
ЖУКОВ МИХАИЛ ВЛАДИМИРОВИЧ;3522 925655;843961637 42;ощущение песка, слезотечение, покраснение глаз;Офтальмолог;2025-07-14T17:50;томография глаза;2025-07-16T11:50;400;4986 2911 3088 2828
ВОРОБЬЕВА ТАМАРА ВИКТОРОВНА;4918 958581;926978445 83;нарушения менструации, зуд;Гинеколог;2025-05-27T20:05;УЗИ органов малого таза, мазок на флору, общий анализ крови;2025-05-29T10:40;3950;5112 2381 2623 3201
ИВАНОВ НИКОЛАЙ ПАВЛОВИЧ;8620 496118;402102142 77;изменение цвета мочи, отеки, повышенное давление;Нефролог;2025-08-08T11:00;общий анализ мочи, биохимический анализ крови;2025-08-10T09:00;1140;5228 6038 2790 3173
НИКОЛАЕВ ГЕННАДИЙ ВЯЧЕСЛАВОВИЧ;5807 277309;035761244 52;деформации;Травматолог-ортопед;2025-01-24T12:35;общий анализ крови;2025-01-25T09:50;850;4306 4349 3643 8826
БОРИСОВА ГАЛИНА АНАТОЛЬЕВНА;1707 529494;416658467 08;кашель;Терапевт;2025-03-08T12:00;общий анализ мочи, общий анализ крови, биохимический анализ крови, рентген грудной клетки;2025-03-10T10:50;3190;5389 9427 7765 3172
АБРАМОВ АЛЕКСАНДР СЕРГЕЕВИЧ;6623 267909;600165309 27;кашель, лихорадка, потеря аппетита, сыпь;Педиатр;2025-09-22T13:25;общий анализ мочи, общий анализ крови, мазок из носа/горла, биохимический анализ крови;2025-09-23T09:45;2890;5112 2363 8773 8275
НОВИКОВА ВАЛЕНТИНА ВИКТОРОВНА;4025 836624;724051106 44;ограничение движений, боли после перенесенных заболеваний, слабость;Реабилитолог;2025-06-24T20:30;консультация врача-реабилитолога, механотерапия на аппарате с электроприводом;2025-06-27T09:30;5200;5112 2354 4372 3222
СТЕПАНОВА АЛЕКСАНДРА АЛЕКСАНДРОВНА;1722 745002;845322008 82;боль в животе, запор, тошнота, рвота, диарея, вздутие;Гастроэнтеролог;2025-10-05T18:30;УЗИ органов брюшной полости, ФГДС;2025-10-08T10:30;8000;2200 4089 2750 1809
ЕГОРОВА ЗОЯ АЛЕКСАНДРОВНА;6625 844235;204571342 33;нарушения менструации;Гинеколог;2025-05-03T18:05;УЗИ органов малого таза, мазок на флору;2025-05-05T09:10;3100;5389 9472 3901 1022
НОВИКОВА НИНА АЛЕКСАНДРОВНА;6621 671055;471939717 32;кровотечения, боль в области прямой кишки, недержание;Колопроктолог;2025-06-12T19:10;общий анализ крови, колоноскопия;2025-06-14T12:40;8350;5112 2314 1508 9074
НИКИТИН ИВАН ИВАНОВИЧ;6621 697160;849625387 63;повышение температуры, головная боль, одышка, слабость, кашель;Терапевт;2025-07-06T14:10;общий анализ мочи;2025-07-08T09:50;290;2200 5698 1585 8020
АНТОНОВ ИГОРЬ АЛЕКСАНДРОВИЧ;8617 964309;850794716 42;зубная боль, кровоточивость десен;Стоматолог;2025-11-13T19:05;рентген зубов;2025-11-16T11:30;700;4986 2958 5284 3244
СМИРНОВ ЮРИЙ ЕГОРОВИЧ;6621 916838;786381776 70;головная боль, кашель, одышка, повышение температуры, слабость;Терапевт;2025-11-26T15:50;биохимический анализ крови, общий анализ крови;2025-11-28T11:20;1700;4986 2915 2078 1199
ВОЛКОВ АЛЕКСАНДР ПЕТРОВИЧ;1716 129517;584496998 81;желтуха, проблемы с кормлением, вопросы здоровья новорожденных;Неонатолог;2025-09-08T12:30;общий анализ крови;2025-09-11T10:45;850;2200 7070 2032 5836
ПЕТРОВ АЛЕКСЕЙ ВИТАЛЬЕВИЧ;7810 941691;240403279 14;шумы в сердце у ребенка, одышка при нагрузке, боли в груди, синеватый оттенок кожи;Детский кардиолог;2025-06-24T11:35;общий анализ крови;2025-06-25T11:15;850;4039 3318 4753 4142
РОМАНОВ АЛЕКСАНДР ВАСИЛЬЕВИЧ;4024 695824;591620498 06;вздутие, диарея, запор, тошнота;Гастроэнтеролог;2025-11-19T17:35;ФГДС;2025-11-21T10:30;5500;2200 5671 8925 8517
ОРЛОВА НИНА СТЕПАНОВНА;2825 263749;592294790 41;нарушения менструации, боли внизу живота, зуд, выделения;Гинеколог;2025-01-10T21:50;УЗИ органов малого таза, общий анализ крови, мазок на флору;2025-01-13T09:50;3950;4039 3343 6681 1378
ВОЛКОВ МИХАИЛ СЕРГЕЕВИЧ;4115 757866;235491065 66;проблемы в отношениях, депрессия, стресс;Психотерапевт;2025-03-11T16:05;психодиагностика;2025-03-14T11:10;5000;4377 7339 3967 7142
ПОПОВА ЕЛЕНА ГРИГОРЬЕВНА;4613 249447;342721921 60;головная боль, одышка;Терапевт;2025-08-28T10:55;общий анализ крови, рентген грудной клетки;2025-08-30T11:50;2050;4306 4318 4164 5586
РОМАНОВ ДМИТРИЙ СТЕПАНОВИЧ;5819 157950;202717544 33;сыпь;Педиатр;2025-10-20T21:25;общий анализ крови;2025-10-22T10:00;850;5211 9415 3333 8629
ЖУКОВА ОКСАНА СЕРГЕЕВНА;3507 475344;734366863 24;высокая температура, кровотечение;Хирург;2025-10-29T16:05;общий анализ крови, биохимический анализ крови, УЗИ органов брюшной полости;2025-11-01T11:35;4200;4377 7344 6416 1154
СИДОРОВ СЕРГЕЙ ИВАНОВИЧ;2814 702311;310842588 49;высокое давление, головокружение, боль в груди;Кардиолог;2025-03-10T15:00;ЭКГ;2025-03-13T10:05;1500;5211 9434 5105 4625
СОКОЛОВ СЕРГЕЙ СЕРГЕЕВИЧ;4117 603532;471506647 85;выделения из сосков, уплотнения;Маммолог;2025-09-11T10:15;маммография;2025-09-12T12:15;3500;2200 4051 9802 5428
КОРОЛЕВА НАТАЛЬЯ ЭДУАРДОВНА;5807 743941;045248013 35;судороги, последствия черепно-мозговых травм;Неврореаниматолог;2025-02-20T15:40;МРТ головного мозга;2025-02-23T09:50;7500;4377 7382 4611 1866
СМИРНОВ ВАСИЛИЙ СЕРГЕЕВИЧ;5814 799415;231049255 25;расшифровка ЭКГ, расшифровка ЭЭГ, расшифровка холтеровского мониторирования;Врач функциональной диагностики;2025-11-04T11:35;ЭЭГ, ЭКГ;2025-11-06T10:05;3300;5228 6056 8387 1430
ПЕТРОВА ДАРЬЯ ГЕННАДЬЕВНА;1715 730928;161277500 53;нарушение движений, деформации, отеки, боль в суставах, боль после травмы;Травматолог-ортопед;2025-02-07T15:25;общий анализ крови;2025-02-10T11:15;850;5389 9448 4634 1654
ПОЛЯКОВ АНДРЕЙ СЕРГЕЕВИЧ;5819 210976;725654352 10;одышка, головная боль, слабость;Терапевт;2025-07-31T16:35;общий анализ мочи, рентген грудной клетки, общий анализ крови;2025-08-02T10:55;2340;5112 2339 4977 1213
ПАВЛОВ ПАВЕЛ ВЛАДИМИРОВИЧ;4023 311790;878623921 72;повышение температуры, слабость, одышка, головная боль, кашель;Терапевт;2025-12-21T13:30;общий анализ мочи, биохимический анализ крови, рентген грудной клетки, общий анализ крови;2025-12-24T10:40;3190;2200 5637 3762 4462
СМИРНОВ ЕГОР АФАНАСЬЕВИЧ;3524 701177;190974943 22;отек, воспаление десен;Стоматолог-хирург;2025-01-01T11:45;рентген зубов;2025-01-03T09:10;700;2200 7039 9785 3806
МАКАРОВ ЮРИЙ НИКОЛАЕВИЧ;4608 382205;026283043 32;утренняя скованность, боль в суставах, слабость;Ревматолог;2025-01-31T20:40;ревматоидный фактор;2025-02-02T12:55;900;5112 2332 3831 2581
ЛЕБЕДЕВА ТАТЬЯНА ИВАНОВНА;3522 458317;022723549 25;абстиненция, зависимость от препаратов, проблемы с курением;Нарколог;2025-04-30T18:10;биохимический анализ крови;2025-05-03T09:10;850;4306 4356 5211 6711
БОРИСОВ СЕМЕН БОРИСОВИЧ;4108 542497;786822322 48;слабость, головная боль, одышка, кашель, повышение температуры;Терапевт;2025-11-15T12:45;общий анализ крови, общий анализ мочи, биохимический анализ крови;2025-11-18T11:45;1990;2200 5634 7070 1198
ВОЛКОВА АННА СЕРГЕЕВНА;3516 387788;165452623 73;отек, необходимость удаления зуба, зубная боль, воспаление десен;Стоматолог-хирург;2025-02-15T09:55;биохимический анализ крови, рентген зубов;2025-02-17T09:50;1550;2202 2072 1333 9818
ЕГОРОВА ТАТЬЯНА АНДРЕЕВНА;4622 662073;661333077 74;боль при мочеиспускании;Уролог;2025-12-01T11:15;общий анализ мочи;2025-12-04T10:10;290;4377 7314 9309 5761
ГУСЕВ ПАВЕЛ АРКАДЬЕВИЧ;8609 137700;041185436 28;необходимость проведения колоноскопии, необходимость проведения ФГДС;Эндоскопист;2025-04-05T10:55;колоноскопия, ФГДС;2025-04-07T12:35;13000;4377 7342 5677 2635
ГУСЕВ ВЯЧЕСЛАВ АЛЕКСАНДРОВИЧ;4124 218098;393611448 92;боль в животе, припухлость, кровотечение, высокая температура;Хирург;2025-12-05T12:00;биохимический анализ крови, УЗИ органов брюшной полости, общий анализ крови;2025-12-08T12:55;4200;2200 5690 7685 2285
ГУСЕВА ЕЛЕНА ПЕТРОВНА;4512 337422;723231472 58;боль в суставах, деформации;Травматолог-ортопед;2025-11-30T10:45;общий анализ крови;2025-12-02T12:45;850;5112 2320 8300 9420
КИСЕЛЕВ ИВАН ИВАНОВИЧ;2810 788686;250235362 27;рвота, запор, боль в животе;Гастроэнтеролог;2025-01-11T11:55;УЗИ органов брюшной полости, ФГДС;2025-01-14T11:55;8000;4306 4394 3471 3678
БОРИСОВА АННА МИХАЙЛОВНА;4515 396392;546529213 04;наследственные заболевания, планирование беременности, пороки развития у детей;Генетик;2025-06-14T21:35;генетический анализ, общий анализ крови;2025-06-17T12:35;12850;2200 5666 3630 8382
ОРЛОВА ЕКАТЕРИНА МИХАЙЛОВНА;2820 960481;147372811 77;кровотечения, анемия, слабость, увеличение лимфоузлов;Гематолог;2025-10-23T11:15;коагулограмма;2025-10-24T10:15;800;4306 4390 4031 4028
ОРЛОВА НАДЕЖДА ВЛАДИМИРОВНА;8624 593883;205446418 42;схватки;Акушер-гинеколог;2025-08-06T18:45;УЗИ беременности;2025-08-09T12:00;2500;5112 2356 6918 2254
СМИРНОВ ГЕННАДИЙ ИВАНОВИЧ;3511 105734;508821553 90;выделения, нарушения менструации;Гинеколог;2025-03-30T12:55;общий анализ крови, УЗИ органов малого таза;2025-04-01T10:30;3150;4039 3364 1241 9041
ПЕТРОВ БОРИС АЛЕКСАНДРОВИЧ;8620 665439;408823802 87;одышка, слабость, кашель, головная боль;Терапевт;2025-03-19T21:10;общий анализ мочи, рентген грудной клетки, общий анализ крови;2025-03-21T12:15;2340;4306 4326 7506 4850
ВАСИЛЬЕВА ЛИДИЯ ГРИГОРЬЕВНА;4623 627280;964930489 61;заложенность носа, кожная сыпь, частые простуды;Аллерголог-иммунолог;2025-03-05T09:50;аллергопробы;2025-03-08T11:55;2000;2202 2040 8980 8182
ЛЕБЕДЕВ ЛЕВ ВЛАДИМИРОВИЧ;1715 229846;336680209 83;жажда, подбор терапии при диабете;Диабетолог;2025-11-01T16:00;анализа на гликированный гемоглобин;2025-11-02T12:05;900;5112 2369 7824 7707
АНТОНОВА ТАТЬЯНА ИВАНОВНА;5815 862987;181054174 41;онемение конечностей, боли в спине, головокружение, слабость, головная боль;Невролог;2025-08-19T09:20;МРТ головного мозга;2025-08-22T12:25;7500;4377 7369 5646 3218
ОРЛОВ КИРИЛЛ ВАСИЛЬЕВИЧ;3516 227795;881780963 65;одышка, головная боль, повышение температуры;Терапевт;2025-03-27T20:40;общий анализ мочи, рентген грудной клетки, биохимический анализ крови;2025-03-30T09:45;2340;4377 7352 5381 1770
СТЕПАНОВ СЕРГЕЙ АНАТОЛЬЕВИЧ;4009 855209;633239405 78;кашель;Терапевт;2025-01-02T19:45;рентген грудной клетки, общий анализ мочи, биохимический анализ крови;2025-01-04T11:25;2340;4986 2938 5384 2128
СМИРНОВ ГЕННАДИЙ ИВАНОВИЧ;3511 105734;508821553 90;ночная потливость, слабость;Фтизиатр;2025-08-04T10:30;рентген грудной клетки;2025-08-05T10:05;1200;4377 7373 3329 2946
ОРЛОВ НИКОЛАЙ ИВАНОВИЧ;1709 307708;771710072 88;усталость, жажда;Диабетолог;2025-11-06T12:05;анализа на гликированный гемоглобин;2025-11-07T12:05;900;4306 4345 1162 1742
НОВИКОВ АРТЕМ АЛЕКСЕЕВИЧ;4511 282296;461194091 76;головная боль, слабость, боли в спине;Невролог;2025-05-09T15:00;МРТ головного мозга;2025-05-11T10:00;7500;4306 4390 8190 5717
НИКОЛАЕВ ПАВЕЛ ЮРЬЕВИЧ;4616 918035;027238104 30;одышка, кашель, слабость, повышение температуры;Терапевт;2025-04-12T18:40;общий анализ мочи, рентген грудной клетки, биохимический анализ крови;2025-04-13T09:20;2340;2200 7037 7757 5060
МАКАРОВА НИНА АНАТОЛЬЕВНА;3513 274929;274654277 04;частые позывы, боль при мочеиспускании;Уролог;2025-05-04T21:25;общий анализ мочи, бактериологический посев мочи;2025-05-06T09:30;1190;2200 4016 2097 2191
ПЕТРОВ ДМИТРИЙ ВЯЧЕСЛАВОВИЧ;4621 128608;855206706 08;расшифровка ЭКГ, расшифровка холтеровского мониторирования;Врач функциональной диагностики;2025-12-30T18:50;ЭКГ, ЭЭГ;2026-01-02T09:25;3300;2200 5622 8543 7121
КУЗНЕЦОВ ВЛАДИМИР БОРИСОВИЧ;4516 201751;252916590 87;проведение ультразвуковых исследований;Врач УЗИ-диагностики;2025-10-24T16:25;УЗИ;2025-10-25T12:30;2500;4039 3377 4462 4018
ИВАНОВА АЛЛА АЛЕКСАНДРОВНА;6607 524897;814800253 74;жажда, набор веса;Эндокринолог;2025-11-25T20:20;ТТГ, глюкоза крови, анализ на гормоны щитовидной железы;2025-11-27T10:55;2170;2202 2069 7302 9411
АНТОНОВА ТАТЬЯНА ИВАНОВНА;5815 862987;181054174 41;одышка, головная боль, кашель;Терапевт;2025-06-13T19:05;рентген грудной клетки;2025-06-15T12:00;1200;5112 2324 4098 9891
БЕЛОВА НАДЕЖДА ВАЛЕРЬЕВНА;3508 974794;797500873 53;слабость;Терапевт;2025-01-11T20:25;общий анализ крови, рентген грудной клетки, общий анализ мочи, биохимический анализ крови;2025-01-13T09:10;3190;5228 6054 3063 8609
НИКИТИН АЛЕКСАНДР ВАСИЛЬЕВИЧ;5820 130853;903995193 43;головокружение, слабость, онемение конечностей;Невролог;2025-10-09T15:00;МРТ головного мозга;2025-10-11T09:35;7500;5211 9448 4393 1054
КУЗНЕЦОВА ЛЮБОВЬ ИВАНОВНА;2819 233353;088331867 99;головная боль;Терапевт;2025-03-11T14:20;общий анализ мочи, биохимический анализ крови;2025-03-12T09:20;1140;2200 5654 8613 3311
ПЕТРОВА НИНА НИКОЛАЕВНА;7820 130472;786937613 87;лихорадка, кашель, сыпь, насморк;Педиатр;2025-03-10T11:50;общий анализ мочи, биохимический анализ крови, общий анализ крови;2025-03-12T11:30;1990;2202 2017 8787 2657
ФРОЛОВА ЕЛЕНА ИГОРЕВНА;5816 194682;908375167 30;зубная боль, отек;Стоматолог-хирург;2025-01-07T15:30;рентген зубов;2025-01-09T12:30;700;2200 5639 8116 2630
АБРАМОВА ЕЛЕНА ВИКТОРОВНА;4522 252409;805064580 83;кровотечения, увеличение лимфоузлов, слабость;Гематолог;2025-10-31T19:05;коагулограмма;2025-11-03T09:50;800;5211 9440 7666 8719
БОРИСОВА АННА МИХАЙЛОВНА;4515 396392;546529213 04;одышка, повышение температуры, головная боль;Терапевт;2025-03-05T17:35;общий анализ мочи, общий анализ крови, рентген грудной клетки;2025-03-08T09:30;2340;2200 5691 8535 2912
ИВАНОВ ДАНИИЛ ВЯЧЕСЛАВОВИЧ;4513 874933;072318142 37;головная боль, боли в спине, онемение конечностей, головокружение, слабость;Невролог;2025-01-23T14:20;МРТ головного мозга;2025-01-25T09:10;7500;2202 2032 7742 1376
ВАСИЛЬЕВА ТАТЬЯНА ФЕДОРОВНА;3507 581835;009718730 68;слабость, головная боль;Невролог;2025-09-02T16:15;МРТ головного мозга;2025-09-04T11:30;7500;5389 9474 4138 9035
ПАВЛОВ АЛЕКСАНДР СЕРГЕЕВИЧ;4520 472029;012843224 15;боли внизу живота, зуд, нарушения менструации, выделения;Гинеколог;2025-12-30T11:00;УЗИ органов малого таза;2026-01-01T12:10;2300;5112 2343 2230 7579
ИВАНОВА РАИСА НИКОЛАЕВНА;2818 648245;837497402 54;выделения, боли внизу живота;Гинеколог;2025-03-09T14:25;УЗИ органов малого таза, общий анализ крови, мазок на флору;2025-03-11T11:25;3950;2202 2055 6850 6884
БЕЛОВ МИХАИЛ ЕВГЕНЬЕВИЧ;2823 796505;642949376 37;деформации, отеки, боль после травмы, боль в суставах, нарушение движений;Травматолог-ортопед;2025-10-23T20:10;рентген сустава, общий анализ крови;2025-10-25T10:30;2350;5112 2336 8200 7193
РОМАНОВА АЛЕКСАНДРА СЕРГЕЕВНА;1719 225490;548209950 16;ограничение движений, восстановление после операций, боли, восстановление после травм;Физиотерапевт;2025-08-05T14:30;дарсонвализация кожи (1 поле), магнитотерапия (1 поле), ультразвуковая терапия (1 поле);2025-08-08T11:30;1300;5112 2334 1324 2758
СОКОЛОВ ЕГОР АЛЕКСЕЕВИЧ;3518 100836;982750202 32;высокое давление, отеки ног, аритмия;Кардиолог;2025-01-13T10:30;эхокардиография;2025-01-15T10:30;4500;2202 2071 9551 8859
ПАВЛОВ АНАТОЛИЙ ВЛАДИМИРОВИЧ;8617 467018;164379800 97;слабость, кашель, одышка, хрипы, длительная лихорадка;Пульмонолог;2025-10-08T10:05;общий анализ крови;2025-10-09T10:05;850;2200 7046 1389 2040
НИКИТИН АЛЕКСАНДР ВИКТОРОВИЧ;4917 578700;817167294 19;насморк;Педиатр;2025-04-29T17:05;биохимический анализ крови;2025-05-02T10:25;850;5211 9415 6116 7957
ВОРОБЬЕВ КОНСТАНТИН ЭДУАРДОВИЧ;2811 862972;350734851 74;синеватый оттенок кожи;Детский кардиолог;2025-05-19T09:25;ЭКГ;2025-05-20T11:55;1500;5112 2312 4884 3655
ВОЛКОВ АНДРЕЙ АЛЕКСАНДРОВИЧ;4512 535597;875423062 21;высокая температура;Хирург;2025-10-30T19:45;УЗИ органов брюшной полости;2025-11-01T09:30;2500;5112 2362 7328 8649
СОКОЛОВА АННА АЛЕКСАНДРОВНА;4021 502533;429280846 03;боль после травмы;Травматолог-ортопед;2025-08-11T10:20;общий анализ крови, рентген сустава, МРТ сустава;2025-08-14T10:20;8850;5228 6035 7981 5873
